citation_title,year,institution,sub_experiment,parameter_varied,species,strain,sex,tumor_model,model_type,anesthesia,anesthesia_class_simple,oxygen_condition,oxygen_modulated_flag,fixation_method,tissue_type,tissue_class,anatomy_depth,beam_and_field,radiation_type,particle_group,energy,machine_name,beam_type,delivery_mode,pulse_mode,total_dose_Gy,dose_range_Gy,dose_values_Gy,is_fractionated,fractionation_type,fractionation_detail,fractionation_regime,num_fractions,dose_per_fraction_Gy,inter_fraction_interval_days,flash_avg_dose_rate_Gy_s,flash_avg_dose_rate_Gy_s_source,flash_avg_dose_rate_range,flash_inst_dose_rate_Gy_s,flash_inst_dose_rate_Gy_s_source,flash_inst_dose_rate_range,flash_prf_Hz,flash_prf_Hz_source,flash_prf_range,flash_pulse_width_us,flash_pulse_width_us_source,flash_pulse_width_range,flash_num_pulses,flash_num_pulses_source,flash_dose_per_pulse_Gy,flash_dose_per_pulse_Gy_source,flash_irradiation_time_s,flash_irradiation_time_s_source,flash_irradiation_time_range,conv_avg_dose_rate_Gy_s,conv_dose_per_pulse_Gy,proton_spot_dose_rate_Gy_s,proton_field_dose_rate_Gy_s,proton_num_spots,followup_time,sample_size_per_group,endpoints_detected,healthy_tissue_effect,tumor_effect,target_normal_tissue_sparing_binary,effect_direction,dominant_endpoint_type,flash_vs_conv_effect_size_pct,effect_size_endpoint,effect_size_calculability,effect_size_comparator,dmf_endpoint,dmf_calculability,notes_free_text,derived_params,flash_effect_score_derived,is_preprint,peak_toxicity_grade,severe_toxicity,grade3plus_toxicity,endpoint_type,dmf_acute,dmf_fibrosis,energy_MeV,n_mice_acute,n_mice_late,data_notes,conv_inst_dose_rate_Gy_s,conv_pulse_mode,conv_prf_Hz,conv_pulse_width_us,conv_total_dose_Gy,conv_dose_joint_Gy,fractionation_notes,endpoint_class,dmf_type,grade_scale_max,peak_effect_pct,functional_toxicity_severity_flash,functional_toxicity_severity_conv,flash_benefit_magnitude,functional_delta_score,mechanism_flag,flash_threshold_avg_dose_rate_Gy_s,flash_energy_MeV,endpoint_primary,field_cm2,exclusion_note,oxygen_condition_grouped,tumor_effect_grouped,effect_direction_grouped,dmf_type_grouped
Anesthesia is a potent determinant of ultra-high dose rate sparing in the murine total abdominal irradiation model,,,FLASH_16Gy_ISO,single_arm,,C57BL/6J,male,,,isofluorane,isoflurane,room air,0.0,,whole_abdomen,epithelial,deep,3x4 cm,,electron,,IntraOp Mobetron,electron_beam,multi_pulse,,16.0,,,,single_fraction,,single_fraction,1.0,16.0,,420.0,original,,1129943.5,original,,90.0,original,,3.54,original,,4.0,,4.0,original,0.038,original,,0.1,,,,,15 days,10,GI_toxicity; survival,NO,NOT_APPLICABLE,,NO_FLASH_PROTECTION,acute_GI_weight_loss,0.0,median_time_to_25%_weightloss,calculated,FLASH_vs_CONV,,not_calculable,,,,,3.0,,,GI_toxicity,1.0,not_applicable,,,,"16 Gy, isoflurane anesthesia (pO2~62 mmHg). High lethality, no FLASH benefit. ISO abolishes FLASH sparing at both doses. functional_delta=0.",,,,,,,single_fraction,GI_crypt,none_observed,,,3,3,0.0,0.0,oxygen_state_sensitive_FLASH,,,,,,normoxia_ambient,NOT_APPLICABLE,neutral_no_effect,other
Antitumor Effect by Either FLASH or Conventional Dose Rate Irradiation Involves Equivalent Immune Responses,,Lausanne,SV2-OVA_subcutaneous_NRG_20Gy_single,fractionation,,NRG (NOD-Rag1null IL2rgnull),male,SV2-OVA,,not_reported,unknown,,0.0,,lung,tumor,superficial,17 mm diameter,,electron,,Oriatron eRT6,electron_beam,single_pulse,,20.0,,,,single_fraction,,single_fraction,1.0,20.0,,,original,,10000000.0,original,,,missing,,2.0,missing,,1.0,,20.0,original,,missing,,0.1,,,,,up_to_42_days_post_implantation,FLASH_n=6; CONV_n=6;control_n=6,tumor_growth_delay; tumor_doubling_time,NOT_APPLICABLE,SAME,,neutral,tumor_growth_delay,0.0,tumour_growth_delay,calculated,FLASH_vs_CONV,,not_calculable,,,,,not_applicable,,,tumor_response,not_applicable,not_applicable,,,,"SV2-OVA, NRG (severely immunodeficient), 20 Gy single. Only clear FLASH-advantage arm in main paper. FLASH doubling time 14.2d vs CONV much reduced. functional_delta=1.",,,,,,,single_fraction,lung,not_applicable,,,1,2,1.0,1.0,immune_response_dose_rate_independent,,,,,,,equivalent_same_as_conv,neutral_no_effect,not_applicable
Antitumor Effect by Either FLASH or Conventional Dose Rate Irradiation Involves Equivalent Immune Responses,,Lausanne,SV2-OVA_subcutaneous_C57BL6J_20Gy_single,fractionation,,C57BL/6J,male,SV2-OVA,,not_reported,unknown,,0.0,,lung,tumor,superficial,17 mm diameter,,electron,,Oriatron eRT6,electron_beam,single_pulse,,20.0,,,,single_fraction,,single_fraction,1.0,20.0,,,original,,10000000.0,original,,,missing,,2.0,missing,,1.0,,20.0,original,,missing,,0.1,,,,,up_to_42_days_post_implantation,FLASH_n=10; CONV_n=9;control_n=8,tumor_growth_delay; tumor_doubling_time,NOT_APPLICABLE,SAME,,neutral,tumor_growth_delay,0.0,tumour_growth_delay,calculated,FLASH_vs_CONV,,not_calculable,,,,,not_applicable,,,tumor_response,not_applicable,not_applicable,,,,"SV2-OVA, C57BL/6J, 20 Gy single. FLASH and CONV isoeffective. Doubling time: FLASH 15.7d, CONV 16.4d vs control 7.0d.",,,,,,,single_fraction,lung,not_applicable,,,1,1,0.0,0.0,immune_response_dose_rate_independent,,,,,,,equivalent_same_as_conv,neutral_no_effect,not_applicable
Antitumor Effect by Either FLASH or Conventional Dose Rate Irradiation Involves Equivalent Immune Responses,,Lausanne,SV2-OVA_subcutaneous_SwissNude_2x6Gy,fractionation,,C57BL/6J,male,SV2-OVA,,not_reported,unknown,,0.0,,lung,tumor,superficial,17 mm diameter,,electron,,Oriatron eRT6,electron_beam,single_pulse,,20.0,,,,single_fraction,,single_fraction,1.0,20.0,,,original,,10000000.0,original,,,missing,,2.0,missing,,1.0,,20.0,original,,missing,,0.1,,,,,up_to_42_days_post_implantation,FLASH_n=7; CONV_n=6;control_n=7,tumor_growth_delay; tumor_doubling_time,NOT_APPLICABLE,SAME,,neutral,tumor_growth_delay,0.0,tumour_growth_delay,calculated,FLASH_vs_CONV,,not_calculable,,,,,not_applicable,,,tumor_response,not_applicable,not_applicable,,,,"SV2-OVA, Swiss nude, 2x6 Gy (12 Gy total). Negligible tumor growth delay in both arms.",,,,,,,single_fraction,lung,not_applicable,,,3,3,0.0,0.0,immune_response_dose_rate_independent,,,,,,,equivalent_same_as_conv,neutral_no_effect,not_applicable
Antitumor Effect by Either FLASH or Conventional Dose Rate Irradiation Involves Equivalent Immune Responses,,Lausanne,SV2-OVA_subcutaneous_SwissNude_20Gy_single,fractionation,,C57BL/6J,male,SV2-OVA,,not_reported,unknown,,0.0,,lung,tumor,superficial,17 mm diameter,,electron,,Oriatron eRT6,electron_beam,single_pulse,,20.0,,,,single_fraction,,single_fraction,1.0,20.0,,,original,,10000000.0,original,,,missing,,2.0,missing,,1.0,,20.0,original,,missing,,0.1,,,,,up_to_42_days_post_implantation,FLASH_n=7; CONV_n=6;control_n=7,tumor_growth_delay; tumor_doubling_time,NOT_APPLICABLE,SAME,,neutral,tumor_growth_delay,0.0,tumour_growth_delay,calculated,FLASH_vs_CONV,,not_calculable,,,,,not_applicable,,,tumor_response,not_applicable,not_applicable,,,,"SV2-OVA, Swiss nude, 20 Gy single. FLASH and CONV isoeffective. Doubling time: FLASH 14.3d, CONV 16.8d vs control 8.1d.",,,,,,,single_fraction,lung,not_applicable,,,1,1,0.0,0.0,immune_response_dose_rate_independent,,,,,,,equivalent_same_as_conv,neutral_no_effect,not_applicable
"Average Dose Rate is the Major Temporal Beam
Structure Parameter for Preserving Murine
Intestines With Pulsed Electron FLASH
Radiation Therapy",,Lausanne,FLASH_2.83Gypp_340Gyps,dose_rate,,C57BL/6J,female,,,ketamine_medetomidine,ketamine,normoxia,0.0,,intestine,epithelial,deep,4.5 × 3.5 cm,,electron,,Oriatron eRT6,electron_beam,single_pulse,,17.0,,,,single_fraction,,single_fraction,1.0,17.0,,340.0,original,,1290000.0,original,,100.0,original,,2.2,original,,6.0,,2.83,original,0.05,original,,0.2,,,,,"30 day survival, 96hr histology",20,survival;crypt_regeneration,YES,NOT_APPLICABLE,,positive,survival_GI,81.0,survival,calculated,FLASH_vs_CONV,wit,not_calculable,,,,,not_applicable,,,GI_toxicity,not_applicable,not_applicable,,,,"17 Gy, 2.83 Gy/pulse, 340 Gy/s. ~90% 30-day survival. ~5x more regenerating crypts vs CONV/low-DRav groups.",,,,,,,single_fraction,GI_crypt,not_applicable,,,0,3,3.0,1.0,DRav_threshold_GI_sparing,100.0,,,,,normoxia_ambient,NOT_APPLICABLE,other,not_applicable
"Average Dose Rate is the Major Temporal Beam
Structure Parameter for Preserving Murine
Intestines With Pulsed Electron FLASH
Radiation Therapy",,Lausanne,FLASH_2.83Gypp_105Gyps,dose_rate,,C57BL/6J,female,,,ketamine_medetomidine,ketamine,normoxia,0.0,,intestine,epithelial,deep,4.5 × 3.5 cm,,electron,,Oriatron eRT6,electron_beam,single_pulse,,17.0,,,,single_fraction,,single_fraction,1.0,17.0,,105.0,original,,1290000.0,original,,30.0,original,,2.2,original,,6.0,,2.83,original,0.17,original,,0.2,,,,,"30 day survival, 96hr histology",28,survival;crypt_regeneration,YES,NOT_APPLICABLE,,positive,survival_GI,75.2,survival,calculated,FLASH_vs_CONV,,not_calculable,,,,,not_applicable,,,GI_toxicity,not_applicable,not_applicable,,,,"17 Gy, 2.83 Gy/pulse, 105 Gy/s. ~85-90% survival. At/above 100 Gy/s threshold — maximal sparing plateau.",,,,,,,single_fraction,GI_crypt,not_applicable,,,0,3,3.0,1.0,DRav_threshold_GI_sparing,100.0,,,,,normoxia_ambient,NOT_APPLICABLE,other,not_applicable
"Average Dose Rate is the Major Temporal Beam
Structure Parameter for Preserving Murine
Intestines With Pulsed Electron FLASH
Radiation Therapy",,Lausanne,FLASH_2.83Gypp_40.8Gyps,dose_rate,,C57BL/6J,female,,,ketamine_medetomidine,ketamine,normoxia,0.0,,intestine,epithelial,deep,4.5 × 3.5 cm,,electron,,Oriatron eRT6,electron_beam,single_pulse,,17.0,,,,single_fraction,,single_fraction,1.0,17.0,,40.8,original,,1290000.0,original,,12.0,original,,2.2,original,,6.0,,2.83,original,0.4166666666666667,missing,,0.2,,,,,"30 day survival, 96hr histology",14,survival;crypt_regeneration,YES,NOT_APPLICABLE,,positive,survival_GI,38.1,survival,calculated,FLASH_vs_CONV,,not_calculable,,,,,not_applicable,,,GI_toxicity,not_applicable,not_applicable,,,,"17 Gy, 2.83 Gy/pulse, 40.8 Gy/s. Intermediate sparing. Survival >30% but well below 100 Gy/s plateau.",,,,,,,single_fraction,GI_crypt,not_applicable,,,2,3,1.0,1.0,DRav_threshold_GI_sparing,100.0,,,,,normoxia_ambient,NOT_APPLICABLE,other,not_applicable
"Average Dose Rate is the Major Temporal Beam
Structure Parameter for Preserving Murine
Intestines With Pulsed Electron FLASH
Radiation Therapy",,Lausanne,FLASH_2.83Gypp_17Gyps,dose_rate,,C57BL/6J,female,,,ketamine_medetomidine,ketamine,normoxia,0.0,,intestine,epithelial,deep,4.5 × 3.5 cm,,electron,,Oriatron eRT6,electron_beam,single_pulse,,17.0,,,,single_fraction,,single_fraction,1.0,17.0,,17.0,original,,1290000.0,original,,5.0,original,,2.2,original,,6.0,,2.83,original,1.0,missing,,0.2,,,,,"30 day survival, 96hr histology",10,survival;crypt_regeneration,NEUTRAL,NOT_APPLICABLE,,neutral,survival_GI,0.0,survival,calculated,FLASH_vs_CONV,,not_calculable,,,,,not_applicable,,,GI_toxicity,not_applicable,not_applicable,,,,"17 Gy, 2.83 Gy/pulse, 17 Gy/s. Neutral/no sparing. Survival <10%, essentially CONV-like.",,,,,,,single_fraction,GI_crypt,not_applicable,,,3,3,0.0,0.0,DRav_threshold_GI_sparing,100.0,,,,,normoxia_ambient,NOT_APPLICABLE,neutral_no_effect,not_applicable
"Average Dose Rate is the Major Temporal Beam
Structure Parameter for Preserving Murine
Intestines With Pulsed Electron FLASH
Radiation Therapy",,Lausanne,FLASH_1Gypp_265Gyps,dose_rate,,C57BL/6J,female,,,ketamine_medetomidine,ketamine,normoxia,0.0,,intestine,epithelial,deep,4.5 × 3.5 cm,,electron,,Oriatron eRT6,electron_beam,single_pulse,,17.0,,,,single_fraction,,single_fraction,1.0,17.0,,265.6,original,,1290000.0,original,,250.0,original,,2.2,original,,17.0,,1.0,original,0.0640060240963855,missing,,0.2,,,,,"30 day survival, 96hr histology",24,survival;crypt_regeneration,YES,NOT_APPLICABLE,,positive,survival_GI,74.4,survival,calculated,FLASH_vs_CONV,,not_calculable,,,,,not_applicable,,,GI_toxicity,not_applicable,not_applicable,,,,"17 Gy, 1 Gy/pulse, 265.6 Gy/s. Very strong sparing. Well above 100 Gy/s threshold; maximal survival cluster.",,,,,,,single_fraction,GI_crypt,not_applicable,,,0,3,3.0,1.0,DRav_threshold_GI_sparing,100.0,,,,,normoxia_ambient,NOT_APPLICABLE,other,not_applicable
"Average Dose Rate is the Major Temporal Beam
Structure Parameter for Preserving Murine
Intestines With Pulsed Electron FLASH
Radiation Therapy",,Lausanne,FLASH_1Gypp_106Gyps,dose_rate,,C57BL/6J,female,,,ketamine_medetomidine,ketamine,normoxia,0.0,,intestine,epithelial,deep,4.5 × 3.5 cm,,electron,,Oriatron eRT6,electron_beam,single_pulse,,17.0,,,,single_fraction,,single_fraction,1.0,17.0,,106.0,original,,1290000.0,original,,100.0,original,,2.2,original,,17.0,,1.0,original,0.160377358490566,missing,,0.2,,,,,"30 day survival, 96hr histology",18,survival;crypt_regeneration,YES,NOT_APPLICABLE,,positive,survival_GI,84.1,survival,calculated,FLASH_vs_CONV,,not_calculable,,,,,not_applicable,,,GI_toxicity,not_applicable,not_applicable,,,,"17 Gy, 1 Gy/pulse, 106 Gy/s. ~90% survival, high crypt preservation. Paper explicitly identifies this group as threshold-maximal.",,,,,,,single_fraction,GI_crypt,not_applicable,,,0,3,3.0,1.0,DRav_threshold_GI_sparing,100.0,,,,,normoxia_ambient,NOT_APPLICABLE,other,not_applicable
"Average Dose Rate is the Major Temporal Beam
Structure Parameter for Preserving Murine
Intestines With Pulsed Electron FLASH
Radiation Therapy",,Lausanne,FLASH_1Gypp_42Gyps,dose_rate,,C57BL/6J,female,,,ketamine_medetomidine,ketamine,normoxia,0.0,,intestine,epithelial,deep,4.5 × 3.5 cm,,electron,,Oriatron eRT6,electron_beam,single_pulse,,17.0,,,,single_fraction,,single_fraction,1.0,17.0,,42.0,original,,1290000.0,original,,40.0,original,,2.2,original,,17.0,,1.0,original,0.4047619047619047,missing,,0.2,,,,,"30 day survival, 96hr histology",15,survival;crypt_regeneration,YES,NOT_APPLICABLE,,positive,survival_GI,28.6,survival,calculated,FLASH_vs_CONV,,not_calculable,,,,,not_applicable,,,GI_toxicity,not_applicable,not_applicable,,,,"17 Gy, 1 Gy/pulse, 42 Gy/s. Intermediate sparing. Survival >30% but below 100 Gy/s plateau.",,,,,,,single_fraction,GI_crypt,not_applicable,,,2,3,1.0,1.0,DRav_threshold_GI_sparing,100.0,,,,,normoxia_ambient,NOT_APPLICABLE,other,not_applicable
